date,nlikes,nretweets,nreplies,comp,pos,neutral,neg
2022-05-14,-0.9997176534292538,-0.9998701467341904,-0.9999414468483766,0,0.1,0.802,0.098
2022-05-15,-0.9913222908749842,-0.9959968093197543,-0.9981731416693503,0,0.0924,0.8148,0.0928
2022-05-16,-0.988017675668881,-0.9937002615615783,-0.9729601545803204,0,0.1102,0.8392,0.0506
2022-05-17,-0.9979868302729672,-0.9992950822713191,-0.9967795766607138,0,0.193,0.762,0.045
2022-05-19,-0.9948210676954912,-0.9980522010128555,-1.0,1,0.333,0.667,0.0
2022-05-20,-0.9990240349129914,-0.9990724766727883,-0.9973651081769477,0,0.07566666666666666,0.9136666666666667,0.010666666666666666
2022-05-21,-0.9755750877498331,-0.9844732595024764,-0.9984190649061686,0,0.0,0.935,0.065
2022-05-23,-0.9810789119987623,-0.9855306360954978,-0.9824926076646076,1,0.096,0.904,0.0
2022-05-24,-0.9981222019164757,-0.9982748066113862,-0.9946131100506485,1,0.14750000000000002,0.837,0.0155
2022-05-25,-0.9999806611937845,-1.0,-0.9997657873935064,0,0.078,0.814,0.109
2022-05-26,-0.9930376781477643,-0.995547888029384,-0.9902216236788945,0,0.07672727272727274,0.8563636363636363,0.06681818181818183
2022-05-27,-0.996121602413483,-0.9974400356168958,-0.9937274936323448,0,0.0475,0.8921250000000001,0.060500000000000005
2022-05-28,-0.9883619064195167,-0.9908453447604207,-0.9912755804081155,0,0.14250000000000002,0.7725,0.08474999999999999
2022-05-31,-0.9762548467883078,-0.9878587196467992,-0.9692156805340048,1,0.15475,0.8452500000000001,0.0
2022-06-01,-0.9983131035606886,-0.9991705291388079,-0.9952070063028287,1,0.12914285714285714,0.8644285714285714,0.0064285714285714285
2022-06-02,-0.9988087295371256,-0.9995084126365779,-0.9968966829639605,0,0.12925,0.8420000000000001,0.02875
2022-06-03,-0.9999651901488121,-0.9999443486003673,-0.9988289369675323,0,0.132,0.797,0.071
2022-06-05,-0.9936671855913001,-0.9957364844392502,-0.9853714709527575,0,0.08133333333333333,0.866,0.05266666666666667
2022-06-06,-0.999890155580696,-0.9998812770141169,-0.9992973621805193,0,0.1356,0.8423999999999999,0.022
2022-06-07,-0.9998762316402209,-0.9998701467341904,-0.9995315747870129,0,0.0,1.0,0.0
2022-06-08,-0.9984761020702192,-0.999128128072421,-0.9991217027256493,0,0.0,1.0,0.0
2022-06-10,-0.986250108780785,-0.9909937484927746,-0.953069648973856,0,0.0,1.0,0.0
2022-06-12,-0.9919956681074077,-0.9917079414547276,-0.9668003630295401,0,0.064,0.917,0.019
2022-06-13,-0.9999922644775138,-1.0,-1.0,1,0.557,0.443,0.0
2022-06-14,-0.9996944468617952,-0.9998701467341904,-0.9997072342418831,0,0.0,1.0,0.0
2022-06-15,-0.9993038029762423,-0.9997031925352923,-0.9996779576660714,0,0.032,0.8945000000000001,0.0735
2022-06-17,-0.9990540561074023,-0.9994779368701123,-0.9998159758091836,0,0.04971428571428572,0.9302857142857144,0.019857142857142858
2022-06-18,-0.9823851102242888,-0.9885384617423127,-0.9908238846670208,0,0.02114285714285714,0.9404285714285715,0.03842857142857143
2022-06-19,-0.2541351202390276,-0.6685866399539948,0.08077407266446117,0,0.3095,0.5965,0.094
2022-06-20,-0.9982891602768027,-0.9986952838530555,-0.9912365449736998,0,0.059666666666666666,0.8496666666666667,0.09066666666666667
2022-06-21,-0.9939376710275675,-0.9929805034596619,-0.9857130310038937,0,0.1878,0.7588,0.053200000000000004
2022-06-22,-0.9920269969734768,-0.9943532379839353,-0.9890154287554529,0,0.11120000000000001,0.851,0.0378
2022-06-23,-0.9929271539401207,-0.9953376494085493,-0.9778278732519444,0,0.048666666666666664,0.9046666666666666,0.04666666666666667
2022-06-24,-0.9925407461740244,-0.9958075945610032,-0.9806105420767129,0,0.020999999999999998,0.8807142857142856,0.09828571428571428
2022-06-25,-0.9326622767576558,-0.9302502457936818,-0.9239980091928448,0,0.094,0.906,0.0
2022-06-26,-0.9945570929906496,-0.9973519209008107,-0.9739438475275932,0,0.16975,0.8074999999999999,0.02275
2022-06-27,-0.9917345942234986,-0.9968835216205687,-0.9805603536610358,0,0.268,0.732,0.0
2022-06-28,-0.9885204846304838,-0.9977182926150593,-0.9714260620077876,1,0.52,0.48,0.0
2022-06-29,-0.9976068227308328,-0.9986226278590906,-0.979111163158357,0,0.10575,0.89425,0.0
2022-06-30,-0.9996286949206625,-0.9999443486003673,-0.9976578739350646,-1,0.0,0.823,0.177
2022-07-01,-0.9978243843007572,-0.9987710315914445,-0.9893433264045437,0,0.09825,0.8692500000000001,0.0325
2022-07-03,-0.998537019309798,-0.9991698666221456,-0.9944520888836842,0,0.13475,0.76425,0.101
2022-07-04,-0.9931966079733898,-0.9979501734468622,-0.9899581344965893,0,0.06475,0.93525,0.0
2022-07-05,-0.9756073190935257,-0.9812331113460837,-0.9447258248675235,0,0.10433333333333333,0.8956666666666666,0.0
